time,step-size,{HMI}.HMIInstance.h_command,{PT}.PTInstance.ack_END_USER,{PT}.PTInstance.ack_TEST_STATION,{PT}.PTInstance.ack_WAGON,{PT}.PTInstance.ack_WAITING_ROOM,{PT}.PTInstance.ack_WAREHOUSE,{PT}.PTInstance.commandAck,{PT}.PTInstance.leaveStationA,{PT}.PTInstance.p_ID,{PT}.PTInstance.speedA,{PT}.PTInstance.t_ID,{PT}.PTInstance.t_valid,{PT}.PTInstance.w_in1,{PT}.PTInstance.w_in2,{PT}.PTInstance.w_in3,{PT}.PTInstance.w_valid,{PT}.PTInstance.wagonPositions,{ROBOT}.ROBOTInstance.r_out,{TEST}.TESTInstance.t_out,{TEST}.TESTInstance.t_status,{TEST}.TESTInstance.testResult,{WAG}.WAGInstance.pos,{WH}.WHInstance.r_ID,{WH}.WHInstance.r_in1,{WH}.WHInstance.r_in2,{WH}.WHInstance.w_out
0.0,0.0,0,0,0,0,0,0,0,false,0,1,0,false,0,0,0,false,0,0,0,0,true,0,0,0,0,0
5.0,5.0,93612,0,0,0,0,0,0,false,0,1,0,false,0,0,0,false,1024,0,0,0,true,1,0,0,0,0
10.0,5.0,93612,0,0,0,0,1,81921,false,1,1,0,false,5,5,5,true,1049600,0,0,0,true,1,0,0,0,0
15.0,5.0,215685,0,0,0,0,1,81921,false,1,1,0,false,5,5,5,true,1049600,0,0,0,true,2,9,1,11,0
20.0,5.0,215685,0,0,0,0,1,212993,false,1,1,0,false,5,5,5,true,2098176,1,0,0,true,2,11,1,11,0
25.0,5.0,149802,0,0,0,0,1,212993,false,1,1,0,false,5,5,5,true,2098176,1,0,0,true,3,11,1,11,0
30.0,5.0,149802,0,0,0,0,1,147457,false,1,1,0,false,5,5,5,true,3146752,0,0,0,true,3,11,1,11,0
35.0,5.0,248453,0,0,0,0,1,147457,false,1,1,0,false,5,5,5,true,3146752,0,0,0,true,4,19,1,11,0
40.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,5,5,5,true,4195328,1,0,0,true,4,21,1,11,0
45.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,5,5,5,true,4195328,1,0,0,true,5,21,1,11,0
50.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,5,5,5,true,5243904,0,0,0,true,5,21,1,11,0
55.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,5,5,5,true,5243904,0,0,0,true,6,29,1,11,0
60.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,5,5,5,true,6292480,1,0,0,true,6,31,1,11,0
65.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,5,5,5,true,6292480,1,0,0,true,7,31,1,11,0
70.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,5,5,5,true,7341056,0,0,0,true,7,31,1,11,0
75.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,5,5,5,true,7341056,0,0,0,true,8,39,1,11,0
80.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,5,5,5,true,8389632,1,0,0,true,8,41,1,11,0
85.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,5,5,5,true,8389632,1,0,0,true,9,41,1,11,0
90.0,5.0,248453,0,0,0,0,1,245761,false,1,1,0,false,5,5,5,true,9438208,0,0,0,true,9,41,1,11,0
95.0,5.0,199301,0,0,0,0,1,245761,false,1,1,0,false,5,5,5,true,9438208,0,0,0,true,10,49,1,11,0
100.0,5.0,199301,0,0,0,0,1,196615,false,1,1,0,false,5,5,5,true,10486784,1,0,0,true,10,51,1,11,0
105.0,5.0,286199,0,0,0,0,1,196615,false,1,1,0,false,5,5,5,true,10486784,1,0,0,true,11,51,1,11,0
110.0,5.0,286199,0,0,0,0,1,278529,false,1,1,0,false,5,5,5,true,11535360,0,0,0,true,11,51,1,11,0
115.0,5.0,318967,0,0,0,0,1,278529,false,1,1,0,false,5,5,5,true,11535360,0,0,0,true,12,59,1,11,0
120.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,12583936,1,0,0,true,12,61,2,12,0
125.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,12583936,1,0,0,true,13,61,2,12,0
130.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,13632512,0,0,0,true,13,61,2,12,0
135.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,13632512,0,0,0,true,14,69,2,12,0
140.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,14681088,1,0,0,true,14,71,2,12,0
145.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,14681088,1,0,0,true,15,71,2,12,0
150.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,15729664,1,0,0,true,15,71,2,12,0
155.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,15729664,0,0,0,true,16,71,2,12,0
160.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,16778240,0,0,0,true,16,81,3,13,0
165.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,16778240,1,0,0,true,17,84,3,13,0
170.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,17826816,1,0,0,true,17,84,3,13,0
175.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,17826816,1,0,0,true,18,84,3,13,0
180.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,18875392,0,0,0,true,18,84,3,13,0
185.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,18875392,0,0,0,true,19,94,3,13,0
190.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,19923968,1,0,0,true,19,96,3,13,0
195.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,19923968,1,0,0,true,20,96,3,13,0
200.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,20972544,1,0,0,true,20,96,3,13,0
205.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,20972544,0,0,0,true,21,96,3,13,0
210.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,22021120,0,0,0,true,21,106,4,0,0
215.0,5.0,318967,0,0,0,0,1,311297,false,1,1,0,false,5,5,5,true,22021120,0,0,0,true,22,0,4,0,1
220.0,5.0,318967,0,0,0,1,2,311297,false,2,1,0,false,1,1,1,true,23069696,0,0,0,true,22,0,4,0,1
225.0,5.0,318967,0,0,0,1,2,311297,false,2,1,0,false,1,1,1,true,23069696,0,0,0,true,23,114,2,12,1
230.0,5.0,318967,0,0,0,1,2,311297,false,2,1,0,false,1,1,1,true,24118272,1,0,0,true,23,116,2,12,1
235.0,5.0,318967,0,0,0,1,2,311297,false,2,1,0,false,1,1,1,true,24118272,1,0,0,true,24,116,2,12,1
240.0,5.0,318967,0,0,0,1,2,311297,false,2,1,0,false,1,1,1,true,25166848,1,0,0,true,24,116,2,12,1
245.0,5.0,318967,0,0,0,1,2,311297,false,2,1,0,false,1,1,1,true,25166848,0,0,0,true,25,116,2,12,1
250.0,5.0,318967,0,0,0,1,2,311297,false,2,1,0,false,1,1,1,true,26215424,0,0,0,true,25,126,2,12,1
255.0,5.0,318967,0,0,0,1,2,311297,false,2,1,0,false,1,1,1,true,26215424,1,0,0,true,26,129,2,12,1
260.0,5.0,318967,0,0,1,1,2,311297,true,2,12,0,false,1,1,1,true,27264000,1,0,0,true,26,129,2,12,1
265.0,5.0,318967,0,0,1,1,2,311297,true,2,12,0,false,1,1,1,true,27264000,1,0,0,true,38,129,2,12,1
270.0,5.0,318967,0,0,1,1,2,311297,false,2,12,0,false,1,1,1,true,39846912,0,0,0,true,38,129,2,12,1
275.0,5.0,318967,0,0,1,1,2,311297,false,2,12,0,false,1,1,1,true,39846912,0,0,0,true,50,139,3,13,1
280.0,5.0,318967,0,0,1,1,2,311297,false,2,12,0,false,1,1,1,true,52429824,1,0,0,true,50,141,3,13,1
285.0,5.0,318967,0,0,1,1,2,311297,false,2,12,0,false,1,1,1,true,52429824,1,0,0,true,62,141,3,13,1
290.0,5.0,318967,0,0,1,1,2,311297,false,2,12,0,false,1,1,1,true,65012736,1,0,0,true,62,141,3,13,1
295.0,5.0,318967,0,0,1,1,2,311297,false,2,12,0,false,1,1,1,true,65012736,0,0,0,true,70,141,3,13,1
300.0,5.0,318967,0,1,1,1,2,311297,true,2,1,93600,true,1,1,1,true,73401344,0,0,0,true,70,151,4,0,1
305.0,5.0,318967,0,1,1,1,2,311297,true,2,1,93600,true,1,1,1,true,73401344,0,0,1,true,71,0,4,0,2
310.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,74449920,0,1,1,false,71,0,4,0,2
315.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,74449920,0,1,0,true,72,159,1,11,2
320.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,75498496,1,1,0,true,72,161,1,11,2
325.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,75498496,1,1,0,true,73,161,1,11,2
330.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,76547072,0,1,0,true,73,161,1,11,2
335.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,76547072,0,1,0,true,74,169,1,11,2
340.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,77595648,1,1,0,true,74,170,1,11,2
345.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,77595648,1,1,0,true,75,170,1,11,2
350.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,78644224,0,1,0,true,75,170,1,11,2
355.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,78644224,0,1,0,true,76,179,2,12,2
360.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,79692800,1,1,0,true,76,181,2,12,2
365.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,79692800,1,1,0,true,77,181,2,12,2
370.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,80741376,1,1,0,true,77,181,2,12,2
375.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,80741376,0,1,0,true,78,181,2,12,2
380.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,81789952,0,1,0,true,78,191,2,12,2
385.0,5.0,318967,0,1,1,2,4,311297,false,4,1,0,true,3,5,7,true,81789952,1,1,0,true,79,193,2,12,2
